date,value
2020-03-16,100
2020-03-23,100.5
2020-03-30,101
2020-04-06,100
2020-04-13,101
2020-04-20,100.3
2020-04-27,98.6
2020-05-04,97
2020-05-11,97
2020-05-18,97
2020-05-25,93
2020-06-01,92
2020-06-08,92
2020-06-15,97
2020-06-22,100
